Week,Popularity
2020-03-01,4
2020-03-08,19
2020-03-15,48
2020-03-22,58
2020-03-29,59
2020-04-05,54
2020-04-12,42
2020-04-19,38
2020-04-26,36
2020-05-03,34
2020-05-10,33
2020-05-17,32
2020-05-24,30
2020-05-31,24
2020-06-07,27
2020-06-14,33
2020-06-21,42
2020-06-28,51
2020-07-05,55
2020-07-12,53
2020-07-19,48
2020-07-26,44
2020-08-02,39
2020-08-09,34
2020-08-16,33
2020-08-23,29
2020-08-30,30
2020-09-06,27
2020-09-13,25
2020-09-20,27
2020-09-27,33
2020-10-04,34
2020-10-11,31
2020-10-18,33
2020-10-25,38
2020-11-01,31
2020-11-08,50
2020-11-15,63
2020-11-22,51
2020-11-29,49
2020-12-06,51
2020-12-13,53
2020-12-20,54
2020-12-27,55
2021-01-03,53
2021-01-10,57
2021-01-17,53
2021-01-24,52
2021-01-31,51
2021-02-07,45
2021-02-14,38
2021-02-21,43
2021-02-28,49
2021-03-07,50
2021-03-14,45
2021-03-21,48
2021-03-28,49
2021-04-04,46
2021-04-11,38
2021-04-18,35
2021-04-25,38
2021-05-02,30
2021-05-09,30
2021-05-16,26
2021-05-23,23
2021-05-30,21
2021-06-06,19
2021-06-13,19
2021-06-20,18
2021-06-27,17
2021-07-04,19
2021-07-11,23
2021-07-18,32
2021-07-25,39
2021-08-01,58
2021-08-08,54
2021-08-15,53
2021-08-22,53
2021-08-29,55
2021-09-05,44
2021-09-12,38
2021-09-19,33
2021-09-26,33
2021-10-03,30
2021-10-10,26
2021-10-17,24
2021-10-24,25
2021-10-31,27
2021-11-07,28
2021-11-14,29
2021-11-21,29
2021-11-28,36
2021-12-05,33
2021-12-12,40
2021-12-19,73
2021-12-26,92
2022-01-02,100
2022-01-09,76
2022-01-16,75
2022-01-23,40
2022-01-30,29
2022-02-06,25
2022-02-13,20
2022-02-20,17
2022-02-27,16
2022-03-06,15
2022-03-13,15
2022-03-20,14
2022-03-27,13
2022-04-03,13
2022-04-10,15
2022-04-17,14
2022-04-24,14
2022-05-01,15
2022-05-08,18
2022-05-15,20
2022-05-22,18
2022-05-29,18
2022-06-05,17
2022-06-12,16
2022-06-19,17
2022-06-26,17
2022-07-03,18
2022-07-10,21
2022-07-17,20
2022-07-24,18
2022-07-31,16
2022-08-07,15
2022-08-14,13
2022-08-21,13
2022-08-28,13
2022-09-04,12
