Time,SteamPopularity,CovidPopularity
2020-03,62.0,37.6
2020-04,66.75,42.5
2020-05,62.4,30.6
2020-06,66.5,38.25
2020-07,59.5,50.0
2020-08,61.8,33.0
2020-09,62.75,28.0
2020-10,60.25,34.0
2020-11,61.4,48.8
2020-12,76.75,53.25
2021-01,61.0,53.2
2021-02,60.75,43.75
2021-03,55.0,48.0
2021-04,54.5,39.25
2021-05,54.2,26.0
2021-06,62.5,18.25
2021-07,70.0,28.25
2021-08,57.2,54.6
2021-09,56.0,37.0
2021-10,56.0,26.4
2021-11,63.75,30.5
2021-12,69.75,59.5
2022-01,80.0,64.0
2022-02,86.75,19.5
2022-03,78.75,14.25
2022-04,70.5,14.0
2022-05,73.6,17.8
2022-06,86.25,16.75
2022-07,83.8,18.6
2022-08,83.75,13.5
2022-09,90.0,12.0
