Week,Popularity
2020-03-01,52
2020-03-08,52
2020-03-15,64
2020-03-22,70
2020-03-29,72
2020-04-05,71
2020-04-12,69
2020-04-19,66
2020-04-26,61
2020-05-03,63
2020-05-10,63
2020-05-17,67
2020-05-24,64
2020-05-31,55
2020-06-07,60
2020-06-14,63
2020-06-21,71
2020-06-28,72
2020-07-05,66
2020-07-12,58
2020-07-19,58
2020-07-26,56
2020-08-02,67
2020-08-09,61
2020-08-16,65
2020-08-23,58
2020-08-30,58
2020-09-06,61
2020-09-13,62
2020-09-20,67
2020-09-27,61
2020-10-04,61
2020-10-11,60
2020-10-18,61
2020-10-25,59
2020-11-01,49
2020-11-08,58
2020-11-15,60
2020-11-22,73
2020-11-29,67
2020-12-06,71
2020-12-13,63
2020-12-20,94
2020-12-27,79
2021-01-03,66
2021-01-10,60
2021-01-17,59
2021-01-24,61
2021-01-31,59
2021-02-07,63
2021-02-14,64
2021-02-21,58
2021-02-28,58
2021-03-07,51
2021-03-14,55
2021-03-21,56
2021-03-28,58
2021-04-04,56
2021-04-11,55
2021-04-18,52
2021-04-25,55
2021-05-02,53
2021-05-09,54
2021-05-16,51
2021-05-23,57
2021-05-30,56
2021-06-06,57
2021-06-13,60
2021-06-20,68
2021-06-27,65
2021-07-04,62
2021-07-11,82
2021-07-18,73
2021-07-25,63
2021-08-01,60
2021-08-08,58
2021-08-15,58
2021-08-22,57
2021-08-29,53
2021-09-05,56
2021-09-12,51
2021-09-19,62
2021-09-26,55
2021-10-03,54
2021-10-10,57
2021-10-17,55
2021-10-24,60
2021-10-31,54
2021-11-07,60
2021-11-14,60
2021-11-21,71
2021-11-28,64
2021-12-05,58
2021-12-12,58
2021-12-19,82
2021-12-26,81
2022-01-02,85
2022-01-09,80
2022-01-16,76
2022-01-23,80
2022-01-30,79
2022-02-06,84
2022-02-13,81
2022-02-20,96
2022-02-27,86
2022-03-06,84
2022-03-13,79
2022-03-20,78
2022-03-27,74
2022-04-03,72
2022-04-10,67
2022-04-17,71
2022-04-24,72
2022-05-01,76
2022-05-08,72
2022-05-15,72
2022-05-22,73
2022-05-29,75
2022-06-05,74
2022-06-12,81
2022-06-19,100
2022-06-26,90
2022-07-03,87
2022-07-10,79
2022-07-17,84
2022-07-24,85
2022-07-31,84
2022-08-07,84
2022-08-14,81
2022-08-21,89
2022-08-28,81
2022-09-04,90
